id,loan_status,loan_amount,loan_term,interest_rate,installment,purpose,dti,revolving_rate,employment_length,home_ownership,annual_income
1077430,charged off,2500,60,15.27,59.83,car,1.0,9.4,1,rent,30000.0
1071795,charged off,5600,60,21.28,152.39,small_business,5.55,32.6,4,own,40000.0
1071570,charged off,5375,60,12.69,121.45,other,18.08,36.5,1,rent,15000.0
1064687,charged off,9000,36,13.49,305.38,debt_consolidation,10.08,91.7,1,rent,30000.0
1069057,charged off,10000,36,10.65,325.74,other,7.06,55.5,3,rent,100000.0
1039153,charged off,21000,36,12.42,701.73,debt_consolidation,13.22,90.3,10,rent,105000.0
1069559,charged off,6000,36,11.71,198.46,major_purchase,2.4,29.7,1,rent,76000.0
1069800,charged off,15000,36,14.27,514.64,debt_consolidation,15.22,57.6,9,rent,60000.0
1069657,charged off,5000,60,16.77,123.65,other,13.97,59.5,2,rent,50004.0
1069465,charged off,5000,36,8.9,158.77,debt_consolidation,16.33,62.1,10,mortgage,100000.0
1069248,charged off,15000,36,9.91,483.38,debt_consolidation,9.12,63.7,8,mortgage,80000.0
1069243,charged off,12000,36,15.96,421.65,car,20.88,90.8,4,rent,50000.0
1069410,charged off,21000,60,19.91,555.33,debt_consolidation,21.58,97.6,7,rent,50000.0
1069126,charged off,10000,60,10.65,215.69,debt_consolidation,21.73,30.1,10,rent,45996.0
1069093,charged off,12500,60,17.27,223.11,debt_consolidation,13.16,70.8,5,rent,30000.0
1068906,charged off,8200,60,21.28,223.14,small_business,12.48,73.9,4,rent,75000.0
1060981,charged off,6400,36,16.77,227.45,debt_consolidation,20.22,67.5,5,rent,75000.0
1068542,charged off,17500,60,17.27,437.47,credit_card,21.31,86.1,7,mortgage,45000.0
1068509,charged off,6200,36,9.91,199.8,debt_consolidation,20.64,47.7,2,rent,25000.0
1068309,charged off,18825,60,16.77,465.53,debt_consolidation,23.18,79.7,10,rent,38000.0
1068012,charged off,10000,36,18.25,362.78,credit_card,24.14,96.3,1,rent,75000.0
1068202,charged off,25000,60,13.49,575.12,credit_card,14.15,91.2,10,mortgage,67000.0
1068006,charged off,19750,36,10.65,643.33,debt_consolidation,22.8,54.2,4,rent,45000.0
1068179,charged off,28000,60,19.91,312.04,debt_consolidation,20.7,87.6,10,rent,52000.0
1066215,charged off,24000,36,15.96,843.3,home_improvement,9.17,71.2,8,mortgage,90000.0
1068111,charged off,11100,36,6.62,340.82,credit_card,29.85,62.3,10,rent,41000.0
1068091,charged off,12000,36,9.91,386.7,debt_consolidation,7.83,65.4,2,rent,42000.0
1067794,charged off,10000,36,11.71,330.76,debt_consolidation,22.08,29.3,8,rent,60000.0
1068018,charged off,13475,60,13.49,309.99,credit_card,21.89,65.8,10,rent,25000.0
1067818,charged off,5600,36,14.65,193.17,debt_consolidation,12.24,90.8,1,mortgage,85000.0
1067644,charged off,2500,36,7.51,77.78,debt_consolidation,16.3,42.2,10,own,12000.0
1067364,charged off,10000,36,13.49,339.31,small_business,6.92,69.5,5,rent,65000.0
1067152,charged off,7750,36,17.27,277.36,debt_consolidation,16.1,67.1,1,rent,24000.0
1062471,charged off,20000,60,20.89,539.84,debt_consolidation,16.63,79.9,6,rent,70000.0
1067126,charged off,21000,60,11.71,464.07,debt_consolidation,6.62,79.9,3,rent,60000.0
1067324,charged off,15000,36,16.77,533.08,debt_consolidation,19.63,74.9,10,rent,42000.0
1067102,charged off,15000,36,17.27,536.81,debt_consolidation,16.03,75.9,8,rent,75000.0
1067265,charged off,16000,36,12.69,536.72,debt_consolidation,20.64,89.3,1,rent,58500.0
1067038,charged off,12000,36,14.27,411.71,other,8.4,86.2,8,mortgage,70000.0
1031265,charged off,13650,36,12.42,456.12,debt_consolidation,12.29,73.4,10,mortgage,86000.0
1066835,charged off,10500,36,16.29,370.66,debt_consolidation,15.0,55.5,3,rent,30000.0
1063280,charged off,15075,36,14.27,517.21,debt_consolidation,20.16,89.6,10,rent,35000.0
1066798,charged off,9500,36,12.69,318.68,moving,23.54,75.3,1,mortgage,52500.0
1066766,charged off,7200,36,7.9,225.29,debt_consolidation,7.98,82.9,3,rent,68000.0
1066613,charged off,26000,60,16.77,642.96,home_improvement,11.77,72.7,10,mortgage,53000.0
1065648,charged off,7000,60,11.71,154.69,credit_card,26.22,90.9,6,mortgage,69600.0
1066503,charged off,10000,36,12.69,335.45,credit_card,2.69,70.2,2,rent,70000.0
1066344,charged off,15600,60,12.69,352.48,vacation,5.78,35.7,10,rent,50000.0
1048526,charged off,4000,36,12.69,134.18,debt_consolidation,6.86,79.7,2,rent,25000.0
1066232,charged off,10000,36,12.42,334.16,credit_card,18.31,90.6,10,rent,39000.0
1066162,charged off,12000,36,8.9,381.04,other,9.13,83.5,7,rent,80000.0
1063447,charged off,16000,60,13.49,368.08,small_business,16.22,58.5,10,rent,35000.0
1066112,charged off,11875,60,12.69,268.32,debt_consolidation,23.75,94.1,1,rent,25920.0
1066071,charged off,14000,36,7.9,438.07,debt_consolidation,19.74,63.9,10,own,45600.0
1065026,charged off,8000,36,16.29,282.41,credit_card,13.22,72.9,5,rent,50000.0
