id,loan_status,loan_amount,loan_term,interest_rate,installment,purpose,dti,revolving_rate,employment_length,home_ownership,annual_income
1077501,fully paid,5000,36,10.65,162.87,credit_card,27.65,83.7,10,rent,24000.0
1077430,charged off,2500,60,15.27,59.83,car,1.0,9.4,1,rent,30000.0
1077175,fully paid,2400,36,15.96,84.33,small_business,8.72,98.5,10,rent,12252.0
1076863,fully paid,10000,36,13.49,339.31,other,20.0,21.0,10,rent,49200.0
1075269,fully paid,5000,36,7.9,156.46,wedding,11.2,28.3,3,rent,36000.0
1069639,fully paid,7000,60,15.96,170.08,debt_consolidation,23.51,85.6,8,rent,47004.0
1072053,fully paid,3000,36,18.64,109.43,car,5.35,87.5,9,rent,48000.0
1071795,charged off,5600,60,21.28,152.39,small_business,5.55,32.6,4,own,40000.0
1071570,charged off,5375,60,12.69,121.45,other,18.08,36.5,1,rent,15000.0
1070078,fully paid,6500,60,14.65,153.45,debt_consolidation,16.12,20.6,5,own,72000.0
1069908,fully paid,12000,36,12.69,402.54,debt_consolidation,10.78,67.1,10,own,75000.0
1064687,charged off,9000,36,13.49,305.38,debt_consolidation,10.08,91.7,1,rent,30000.0
1069866,fully paid,3000,36,9.91,96.68,credit_card,12.56,43.1,3,rent,15000.0
1069057,charged off,10000,36,10.65,325.74,other,7.06,55.5,3,rent,100000.0
1069759,fully paid,1000,36,16.29,35.31,debt_consolidation,20.31,81.5,1,rent,28000.0
1065775,fully paid,10000,36,15.27,347.98,home_improvement,18.6,70.2,4,rent,42000.0
1069971,fully paid,3600,36,6.03,109.57,major_purchase,10.52,16.0,10,mortgage,110000.0
1062474,fully paid,6000,36,11.71,198.46,medical,18.44,37.73,1,mortgage,84000.0
1069742,fully paid,9200,36,6.03,280.01,debt_consolidation,9.86,23.1,6,rent,77385.19
1069740,fully paid,20250,60,15.27,484.63,debt_consolidation,26.53,85.6,3,rent,43370.0
1039153,charged off,21000,36,12.42,701.73,debt_consolidation,13.22,90.3,10,rent,105000.0
1069710,fully paid,10000,36,11.71,330.76,credit_card,11.18,82.4,10,own,50000.0
1069700,fully paid,10000,36,11.71,330.76,debt_consolidation,16.01,91.8,5,rent,50000.0
1069559,charged off,6000,36,11.71,198.46,major_purchase,2.4,29.7,1,rent,76000.0
1069697,fully paid,15000,36,9.91,483.38,credit_card,29.44,93.9,2,mortgage,92000.0
1069800,charged off,15000,36,14.27,514.64,debt_consolidation,15.22,57.6,9,rent,60000.0
1069657,charged off,5000,60,16.77,123.65,other,13.97,59.5,2,rent,50004.0
1069799,fully paid,4000,36,11.71,132.31,debt_consolidation,5.63,37.7,10,mortgage,106000.0
1047704,fully paid,8500,36,11.71,281.15,credit_card,12.19,59.1,1,rent,25000.0
1032111,fully paid,4375,36,7.51,136.11,debt_consolidation,20.34,86.9,7,mortgage,17108.0
1069539,fully paid,31825,36,7.9,995.82,debt_consolidation,14.03,27.4,5,mortgage,75000.0
1069591,fully paid,5000,36,8.9,158.77,debt_consolidation,11.93,29.3,2,rent,24044.0
1069530,fully paid,7000,36,15.96,245.97,credit_card,6.35,60.5,7,rent,34000.0
1069522,fully paid,12400,36,10.65,403.91,credit_card,11.8,57.2,10,rent,41000.0
1069361,fully paid,10800,36,9.91,348.03,moving,5.5,13.3,2,rent,55596.0
