loan_amount,loan_term,interest_rate,grade,verification_status,purpose,dti,inquiries,derogatory,revolving_rate,total_credit_lines,employment_length,home_ownership,annual_income
5000,36,10.65,b,verified,credit_card,27.65,1,0,83.7,9,10.0,rent,10.085850775128717
2500,60,15.27,c,source verified,car,1.0,5,0,9.4,4,1.0,rent,10.308985993422082
2400,36,15.96,c,not verified,small_business,8.72,2,0,98.5,10,10.0,rent,9.413526083949446
10000,36,13.49,c,source verified,other,20.0,1,0,21.0,37,10.0,rent,10.803669227477098
5000,36,7.9,a,source verified,wedding,11.2,3,0,28.3,12,3.0,rent,10.491301994830229
7000,60,15.96,c,not verified,debt_consolidation,23.51,1,0,85.6,11,8.0,rent,10.75800925801265
3000,36,18.64,e,source verified,car,5.35,2,0,87.5,4,9.0,rent,10.778977123006351
5600,60,21.28,f,source verified,small_business,5.55,2,0,32.6,13,4.0,own,10.596659732783579
5375,60,12.69,b,verified,other,18.08,0,0,36.5,3,1.0,rent,9.61587214452889
6500,60,14.65,c,not verified,debt_consolidation,16.12,2,0,20.6,23,5.0,own,11.184435286790631
12000,36,12.69,b,source verified,debt_consolidation,10.78,0,0,67.1,34,10.0,own,11.225256725762893
9000,36,13.49,c,source verified,debt_consolidation,10.08,1,0,91.7,9,1.0,rent,10.308985993422082
3000,36,9.91,b,source verified,credit_card,12.56,2,0,43.1,11,3.0,rent,9.61587214452889
10000,36,10.65,b,source verified,other,7.06,2,0,55.5,29,3.0,rent,11.51293546492023
1000,36,16.29,d,not verified,debt_consolidation,20.31,1,0,81.5,23,1.0,rent,10.239995502805316
10000,36,15.27,c,not verified,home_improvement,18.6,2,0,70.2,28,4.0,rent,10.645448706505872
3600,36,6.03,a,not verified,major_purchase,10.52,0,0,16.0,42,10.0,mortgage,11.608244735642321
6000,36,11.71,b,verified,medical,18.44,0,0,37.73,14,1.0,mortgage,11.338583982516495
9200,36,6.03,a,not verified,debt_consolidation,9.86,0,0,23.1,28,6.0,rent,11.256563619885794
20250,60,15.27,c,verified,debt_consolidation,26.53,3,0,85.6,22,3.0,rent,10.677546293976553
21000,36,12.42,b,verified,debt_consolidation,13.22,0,0,90.3,38,10.0,rent,11.561725152903833
10000,36,11.71,b,source verified,credit_card,11.18,0,0,82.4,21,10.0,own,10.819798284210286
10000,36,11.71,b,not verified,debt_consolidation,16.01,0,0,91.8,17,5.0,rent,10.819798284210286
6000,36,11.71,b,not verified,major_purchase,2.4,1,0,29.7,7,1.0,rent,11.23850177707664
15000,36,9.91,b,verified,credit_card,29.44,0,0,93.9,31,2.0,mortgage,11.429554725537322
15000,36,14.27,c,not verified,debt_consolidation,15.22,1,0,57.6,11,9.0,rent,11.002116507732017
5000,60,16.77,d,not verified,other,13.97,0,0,59.5,22,2.0,rent,10.819878279410617
4000,36,11.71,b,not verified,debt_consolidation,5.63,0,0,37.7,44,10.0,mortgage,11.571203807011969
8500,36,11.71,b,source verified,credit_card,12.19,0,0,59.1,12,1.0,rent,10.12667110305036
4375,36,7.51,a,source verified,debt_consolidation,20.34,0,0,86.9,12,7.0,mortgage,9.747359919824648
31825,36,7.9,a,verified,debt_consolidation,14.03,0,0,27.4,26,5.0,mortgage,11.225256725762893
5000,36,8.9,a,verified,debt_consolidation,11.93,0,0,29.3,16,2.0,rent,10.087682353711763
7000,36,15.96,c,source verified,credit_card,6.35,1,0,60.5,6,7.0,rent,10.434145214930487
12400,36,10.65,b,not verified,credit_card,11.8,2,0,57.2,12,10.0,rent,10.62135173563291
10800,36,9.91,b,source verified,moving,5.5,0,0,13.3,18,2.0,rent,10.925884521948419
15000,36,7.9,a,verified,debt_consolidation,8.48,0,0,50.4,27,1.0,rent,10.714439990727769
6000,36,12.42,b,source verified,debt_consolidation,10.62,1,0,66.5,12,1.0,rent,10.514692305429964
9600,36,7.51,a,source verified,other,6.63,0,0,18.1,11,4.0,rent,11.127336510866854
12000,36,7.9,a,not verified,debt_consolidation,16.7,0,0,21.0,25,10.0,rent,11.03973275601109
3000,36,18.25,d,not verified,other,17.39,0,0,98.1,22,9.0,mortgage,11.082157933374816
4400,36,16.77,d,not verified,debt_consolidation,20.01,0,0,99.0,11,10.0,rent,10.915106645867503
