id,loan_status,loan_amount,loan_term,interest_rate,grade,verification_status,purpose,dti,inquiries,derogatory,revolving_rate,total_credit_lines,employment_length,home_ownership,annual_income
1077501,0,5000,36,10.65,b,verified,credit_card,27.65,1,0,83.7,9,10.0,rent,10.085809109330082
1077430,1,2500,60,15.27,c,source verified,car,1.0,5,0,9.4,4,1.0,rent,10.308952660644293
1077175,0,2400,36,15.96,c,not verified,small_business,8.72,2,0,98.5,10,10.0,rent,9.413444467952665
1076863,0,10000,36,13.49,c,source verified,other,20.0,1,0,21.0,37,10.0,rent,10.803648902480399
1075269,0,5000,36,7.9,a,source verified,wedding,11.2,3,0,28.3,12,3.0,rent,10.491274217438248
1069639,0,7000,60,15.96,c,not verified,debt_consolidation,23.51,1,0,85.6,11,8.0,rent,10.757987983453832
1072053,0,3000,36,18.64,e,source verified,car,5.35,2,0,87.5,4,9.0,rent,10.778956289890028
1071795,1,5600,60,21.28,f,source verified,small_business,5.55,2,0,32.6,13,4.0,own,10.596634733096073
1071570,1,5375,60,12.69,b,verified,other,18.08,0,0,36.5,3,1.0,rent,9.615805480084347
1070078,0,6500,60,14.65,c,not verified,debt_consolidation,16.12,2,0,20.6,23,5.0,own,11.184421397998193
1069908,0,12000,36,12.69,b,source verified,debt_consolidation,10.78,0,0,67.1,34,10.0,own,11.225243392518447
1064687,1,9000,36,13.49,c,source verified,debt_consolidation,10.08,1,0,91.7,9,1.0,rent,10.308952660644293
1069866,0,3000,36,9.91,b,source verified,credit_card,12.56,2,0,43.1,11,3.0,rent,9.615805480084347
1069057,1,10000,36,10.65,b,source verified,other,7.06,2,0,55.5,29,3.0,rent,11.512925464970229
1069759,0,1000,36,16.29,d,not verified,debt_consolidation,20.31,1,0,81.5,23,1.0,rent,10.239959789157341
1065775,0,10000,36,15.27,c,not verified,home_improvement,18.6,2,0,70.2,28,4.0,rent,10.645424897265505
1069971,0,3600,36,6.03,a,not verified,major_purchase,10.52,0,0,16.0,42,10.0,mortgage,11.608235644774552
1062474,0,6000,36,11.71,b,verified,medical,18.44,0,0,37.73,14,1.0,mortgage,11.33857207782545
1069742,0,9200,36,6.03,a,not verified,debt_consolidation,9.86,0,0,23.1,28,6.0,rent,11.256550697600032
1069740,0,20250,60,15.27,c,verified,debt_consolidation,26.53,3,0,85.6,22,3.0,rent,10.677523236829412
1039153,1,21000,36,12.42,b,verified,debt_consolidation,13.22,0,0,90.3,38,10.0,rent,11.56171562913966
1069710,0,10000,36,11.71,b,source verified,credit_card,11.18,0,0,82.4,21,10.0,own,10.819778284410283
1069700,0,10000,36,11.71,b,not verified,debt_consolidation,16.01,0,0,91.8,17,5.0,rent,10.819778284410283
1069559,1,6000,36,11.71,b,not verified,major_purchase,2.4,1,0,29.7,7,1.0,rent,11.238488619268468
1069697,0,15000,36,9.91,b,verified,credit_card,29.44,0,0,93.9,31,2.0,mortgage,11.429543856031177
1069800,1,15000,36,14.27,c,not verified,debt_consolidation,15.22,1,0,57.6,11,9.0,rent,11.002099841204238
1069657,1,5000,60,16.77,d,not verified,other,13.97,0,0,59.5,22,2.0,rent,10.819858281210454
1069799,0,4000,36,11.71,b,not verified,debt_consolidation,5.63,0,0,37.7,44,10.0,mortgage,11.571194373094205
1047704,0,8500,36,11.71,b,source verified,credit_card,12.19,0,0,59.1,12,1.0,rent,10.126631103850338
1032111,0,4375,36,7.51,a,source verified,debt_consolidation,20.34,0,0,86.9,12,7.0,mortgage,9.7473014693468
1069539,0,31825,36,7.9,a,verified,debt_consolidation,14.03,0,0,27.4,26,5.0,mortgage,11.225243392518447
1069591,0,5000,36,8.9,a,verified,debt_consolidation,11.93,0,0,29.3,16,2.0,rent,10.087640764159053
1069530,0,7000,36,15.96,c,source verified,credit_card,6.35,1,0,60.5,6,7.0,rent,10.4341158035983
1069522,0,12400,36,10.65,b,not verified,credit_card,11.8,2,0,57.2,12,10.0,rent,10.621327345686446
1069361,0,10800,36,9.91,b,source verified,moving,5.5,0,0,13.3,18,2.0,rent,10.92586653520465
1069357,0,15000,36,7.9,a,verified,debt_consolidation,8.48,0,0,50.4,27,1.0,rent,10.714417768752456
1069356,0,6000,36,12.42,b,source verified,debt_consolidation,10.62,1,0,66.5,12,1.0,rent,10.514665170228822
1067573,0,9600,36,7.51,a,source verified,other,6.63,0,0,18.1,11,4.0,rent,11.127321805957619
1069506,0,12000,36,7.9,a,not verified,debt_consolidation,16.7,0,0,21.0,25,10.0,rent,11.039716704775545
1069314,0,3000,36,18.25,d,not verified,other,17.39,0,0,98.1,22,9.0,mortgage,11.082142548877775
1060578,0,4400,36,16.77,d,not verified,debt_consolidation,20.01,0,0,99.0,11,10.0,rent,10.915088464214607
1069469,0,6000,36,6.03,a,not verified,debt_consolidation,5.34,1,0,32.5,28,10.0,mortgage,10.727662995502477
1051117,0,14000,36,9.91,b,not verified,small_business,10.0,1,0,13.4,40,6.0,rent,11.289781913656018
1069465,1,5000,36,8.9,a,source verified,debt_consolidation,16.33,0,0,62.1,35,10.0,mortgage,11.512925464970229
1069283,0,10000,36,10.65,b,verified,other,11.47,0,0,52.3,10,6.0,rent,10.203592144986466
1069287,0,10000,36,6.03,a,not verified,credit_card,12.74,1,0,19.5,18,10.0,rent,11.002099841204238
1069453,0,11000,36,6.62,a,not verified,debt_consolidation,10.85,0,0,36.4,7,5.0,rent,11.156250521031495
1069248,1,15000,36,9.91,b,not verified,debt_consolidation,9.12,2,0,63.7,28,8.0,mortgage,11.289781913656018
1068120,0,25600,36,9.91,b,verified,credit_card,15.71,0,0,62.0,27,9.0,rent,11.608235644774552
1069244,0,7000,36,10.65,b,not verified,debt_consolidation,7.38,0,0,92.9,12,1.0,rent,10.596634733096073
1069243,1,12000,36,15.96,c,not verified,car,20.88,2,0,90.8,11,4.0,rent,10.819778284410283
1069238,0,12000,36,9.91,b,not verified,credit_card,8.11,1,0,52.1,12,1.0,rent,10.736396675471232
1069410,1,21000,60,19.91,e,verified,debt_consolidation,21.58,1,0,97.6,14,7.0,rent,10.819778284410283
1068409,0,16000,60,19.91,e,verified,credit_card,20.52,3,0,75.1,21,7.0,rent,11.302204433654575
1068487,0,10000,36,12.42,b,not verified,debt_consolidation,18.58,0,0,72.7,10,1.0,own,10.571316925111784
1043961,0,10000,36,10.65,b,not verified,credit_card,19.14,3,0,59.1,24,2.0,rent,10.847393451443256
1068945,0,7100,36,16.77,d,verified,debt_consolidation,24.0,2,0,91.2,8,1.0,mortgage,10.404262840448617
1069142,0,13000,60,12.69,b,source verified,debt_consolidation,13.72,0,0,58.9,27,1.0,mortgage,10.308952660644293
1068934,0,17500,60,17.27,d,verified,small_business,19.47,1,0,58.9,6,6.0,rent,10.596634733096073
1069136,0,17675,60,14.65,c,source verified,debt_consolidation,16.46,2,0,57.4,14,1.0,rent,10.819778284410283
1068923,0,8000,36,16.77,d,not verified,debt_consolidation,21.64,3,0,66.9,20,1.0,rent,11.03488966402723
1069126,1,10000,60,10.65,b,verified,debt_consolidation,21.73,1,0,30.1,15,10.0,rent,10.736309715168556
1069102,0,3500,36,10.65,b,not verified,debt_consolidation,5.39,1,0,45.9,12,7.0,mortgage,10.915088464214607
1069093,1,12500,60,17.27,d,source verified,debt_consolidation,13.16,0,1,70.8,28,5.0,rent,10.308952660644293
1069030,0,16425,36,14.27,c,source verified,debt_consolidation,22.71,1,0,83.4,18,4.0,rent,10.704232743694092
1068906,1,8200,60,21.28,f,source verified,small_business,12.48,3,0,73.9,11,4.0,rent,11.225243392518447
1069073,0,15000,36,14.65,c,verified,credit_card,11.88,1,0,79.5,18,2.0,own,11.018629143155449
1069043,0,20975,60,17.58,d,verified,credit_card,18.79,0,1,79.4,21,5.0,mortgage,10.691944912900398
1060981,1,6400,36,16.77,d,not verified,debt_consolidation,20.22,0,0,67.5,27,5.0,rent,11.225243392518447
1069071,0,3000,36,13.49,c,not verified,debt_consolidation,18.11,0,0,83.2,7,1.0,rent,10.422281345951296
1069070,0,12000,36,16.77,d,not verified,credit_card,20.57,1,0,97.0,19,3.0,rent,10.819778284410283
1068893,0,14400,36,8.9,a,source verified,debt_consolidation,14.85,0,0,55.0,38,1.0,own,11.918390573078392
1068882,0,12000,36,14.65,c,not verified,debt_consolidation,16.56,2,0,78.5,36,10.0,rent,11.407564949312402
1069039,0,11000,36,13.49,c,verified,debt_consolidation,21.82,3,0,65.0,29,10.0,mortgage,10.778956289890028
1068416,0,7250,60,21.67,f,verified,debt_consolidation,24.82,2,1,91.2,19,1.0,rent,11.225243392518447
1068997,0,15000,36,7.9,a,not verified,small_business,9.65,1,0,6.7,29,1.0,mortgage,10.858998997563564
1048390,0,18000,60,19.91,e,not verified,debt_consolidation,6.81,0,0,77.8,40,10.0,mortgage,11.082142548877775
1068994,0,35000,60,17.27,d,verified,home_improvement,7.51,1,0,53.3,31,3.0,mortgage,11.918390573078392
1068475,0,10000,36,14.27,c,source verified,credit_card,15.39,1,0,81.3,15,2.0,rent,11.127262984158243
1068989,0,11800,36,12.69,b,source verified,credit_card,9.86,0,0,74.8,13,6.0,rent,10.645424897265505
1068967,0,4500,36,6.03,a,source verified,major_purchase,4.44,0,0,13.9,17,4.0,rent,10.87804719253426
1068744,0,7000,36,12.69,b,source verified,credit_card,11.35,2,0,82.3,26,10.0,rent,10.46310334047155
1045509,0,9200,36,12.42,b,source verified,debt_consolidation,19.96,3,0,78.7,19,2.0,rent,11.002099841204238
1041756,0,4500,60,10.65,b,source verified,car,5.4,0,0,78.3,9,1.0,mortgage,10.645424897265505
1068694,0,12000,36,16.29,d,verified,debt_consolidation,16.85,0,0,96.4,15,9.0,rent,11.389231242623897
1068792,0,12000,36,13.49,c,source verified,debt_consolidation,21.33,1,0,27.6,19,4.0,rent,11.184421397998193
1068558,0,12000,36,10.65,b,verified,credit_card,23.94,0,0,78.4,51,1.0,rent,11.03488966402723
1068322,0,7000,36,10.65,b,not verified,credit_card,5.38,0,0,78.1,11,3.0,mortgage,10.684645610418787
1065674,0,8200,60,19.42,e,source verified,debt_consolidation,2.8,2,0,88.4,6,3.0,rent,11.695247021764184
1068547,0,10500,36,12.69,b,verified,medical,20.73,2,0,51.2,26,10.0,rent,11.097410021008562
1068545,0,7000,36,11.71,b,not verified,debt_consolidation,21.01,0,1,52.4,26,4.0,own,10.574389124148754
1049528,0,20000,60,11.71,b,verified,debt_consolidation,10.04,0,0,46.3,27,4.0,mortgage,10.774780918479548
1068542,1,17500,60,17.27,d,not verified,credit_card,21.31,2,0,86.1,26,7.0,mortgage,10.714417768752456
1068350,0,3500,36,6.03,a,verified,car,2.31,0,0,13.4,28,10.0,mortgage,11.326595886778735
1068509,1,6200,36,9.91,b,not verified,debt_consolidation,20.64,2,0,47.7,12,2.0,rent,10.126631103850338
1068508,0,6000,36,8.9,a,not verified,debt_consolidation,13.17,0,0,36.8,13,8.0,own,10.268130666124037
1066641,0,7200,36,9.91,b,not verified,credit_card,6.12,0,0,79.6,18,6.0,rent,11.813030057420567
1068315,0,9500,36,8.9,a,not verified,credit_card,8.18,0,0,60.5,13,7.0,mortgage,10.819778284410283
1068309,1,18825,60,16.77,d,verified,debt_consolidation,23.18,0,0,79.7,7,10.0,rent,10.545341438708522
1068326,0,24000,36,10.65,b,verified,debt_consolidation,14.8,0,0,55.2,9,10.0,rent,10.714417768752456
1066767,0,6000,36,13.49,c,not verified,debt_consolidation,11.58,0,0,83.8,16,10.0,rent,11.289781913656018
1068484,0,6000,36,13.49,c,not verified,debt_consolidation,15.38,1,0,91.5,7,5.0,rent,10.819778284410283
1068292,0,2100,36,12.42,b,not verified,vacation,19.72,1,0,82.9,26,10.0,mortgage,10.308952660644293
1068273,0,5500,36,6.62,a,verified,small_business,9.69,0,0,21.9,26,8.0,mortgage,11.608235644774552
1068274,0,11000,36,6.62,a,source verified,debt_consolidation,20.5,0,0,58.7,11,8.0,own,10.727838418711418
1068440,0,26800,60,20.89,f,verified,debt_consolidation,12.15,0,0,48.0,18,3.0,mortgage,11.695247021764184
1046456,0,8000,36,12.69,b,not verified,debt_consolidation,10.05,0,0,97.7,18,5.0,mortgage,10.46310334047155
1068012,1,10000,36,18.25,d,source verified,credit_card,24.14,0,0,96.3,26,1.0,rent,11.225243392518447
1055725,0,8000,36,11.71,b,verified,credit_card,9.7,0,0,46.5,8,9.0,mortgage,10.46310334047155
1061814,0,10000,36,8.9,a,verified,debt_consolidation,7.0,0,0,49.5,21,6.0,rent,10.085809109330082
1068232,0,12000,36,11.71,b,not verified,debt_consolidation,13.32,0,0,54.1,38,2.0,mortgage,11.744037185933616
1068405,0,10000,36,7.9,a,not verified,debt_consolidation,25.26,0,0,37.2,16,1.0,rent,10.668955394675699
1068395,0,12000,36,9.91,b,not verified,debt_consolidation,16.44,1,0,29.3,25,1.0,rent,10.819778284410283
1068202,1,25000,60,13.49,c,verified,credit_card,14.15,0,0,91.2,21,10.0,mortgage,11.112447898373103
1068006,1,19750,36,10.65,b,verified,debt_consolidation,22.8,0,0,54.2,28,4.0,rent,10.714417768752456
1068075,0,10000,36,9.91,b,source verified,debt_consolidation,14.81,0,0,27.0,19,3.0,rent,10.348173373797573
1065642,0,13650,36,12.42,b,verified,debt_consolidation,24.09,0,0,56.5,34,4.0,rent,11.097410021008562
1068179,1,28000,60,19.91,e,verified,debt_consolidation,20.7,0,0,87.6,16,10.0,rent,10.858998997563564
1068158,0,18000,36,7.9,a,source verified,debt_consolidation,27.55,0,0,76.6,20,10.0,rent,10.950174768339318
1068180,0,2500,36,14.27,c,source verified,debt_consolidation,10.33,1,0,37.7,20,7.0,rent,10.809727948556782
1065673,0,21000,60,20.3,e,verified,credit_card,23.21,2,0,70.7,25,10.0,rent,11.156250521031495
1068159,0,35000,36,8.9,a,verified,debt_consolidation,22.71,0,0,34.8,32,6.0,mortgage,11.736069016284437
1068165,0,10000,36,7.51,a,not verified,credit_card,9.75,1,0,0.6,19,3.0,rent,10.404262840448617
1059689,0,7000,36,12.69,b,source verified,credit_card,15.8,2,0,47.6,11,1.0,rent,10.308952660644293
1066215,1,24000,36,15.96,c,source verified,home_improvement,9.17,1,0,71.2,23,8.0,mortgage,11.407564949312402
1063270,0,10625,36,7.51,a,not verified,medical,18.89,1,0,43.4,21,5.0,mortgage,10.043249494911286
1067931,0,5000,36,14.65,c,source verified,debt_consolidation,18.3,2,0,33.3,9,2.0,rent,10.085809109330082
1067922,0,8850,36,6.62,a,source verified,credit_card,17.71,0,0,35.9,19,10.0,rent,11.03488966402723
1067919,0,6375,36,7.51,a,source verified,debt_consolidation,4.8,0,0,58.0,11,4.0,rent,10.691944912900398
1068106,0,6000,36,11.71,b,not verified,credit_card,2.97,0,0,56.6,23,1.0,rent,11.407564949312402
1068111,1,11100,36,6.62,a,verified,credit_card,29.85,1,0,62.3,18,10.0,rent,10.621327345686446
1067655,0,10000,60,12.69,b,source verified,debt_consolidation,10.82,1,0,31.2,18,2.0,mortgage,10.933106969717286
1060662,0,6200,36,6.03,a,not verified,small_business,18.2,0,0,16.0,18,5.0,mortgage,10.184900011974314
1061304,0,15000,36,18.64,e,not verified,debt_consolidation,19.69,2,0,90.3,12,1.0,rent,10.896739325546411
1068095,0,4200,36,11.71,b,not verified,other,16.91,0,0,79.7,22,2.0,rent,10.87804719253426
1067182,0,14000,36,14.27,c,not verified,debt_consolidation,7.36,1,0,70.8,14,4.0,rent,10.874266469694353
822464,0,8875,36,7.51,a,not verified,debt_consolidation,23.53,1,0,62.1,27,1.0,mortgage,10.545341438708522
