id,loan_status,loan_amount,loan_term,interest_rate,installment,grade,verification_status,purpose,dti,inquiries,open_credit_lines,derogatory,revolving_rate,total_credit_lines,employment_length,home_ownership,annual_income
1075358,current,3000,60,12.69,67.79,b,source verified,other,17.94,0,15,0,53.9,38,1.0,rent,80000.0
1065420,current,10000,60,15.96,242.97,c,verified,debt_consolidation,22.83,1,11,0,63.6,31,2.0,rent,29120.0
1069346,current,12500,60,12.69,282.44,b,verified,debt_consolidation,16.04,3,6,0,50.0,24,1.0,rent,27000.0
1063958,current,14000,60,17.27,349.98,d,verified,other,6.34,2,5,0,79.4,10,4.0,rent,28000.0
1068575,current,15300,60,22.06,423.1,f,verified,credit_card,20.58,2,14,0,89.7,27,6.0,rent,85000.0
1067874,current,6000,60,12.69,135.57,b,source verified,major_purchase,13.66,0,6,0,50.0,17,1.0,rent,81000.0
1034693,current,16000,60,17.58,402.65,d,not verified,debt_consolidation,15.56,0,8,0,87.1,16,7.0,rent,65000.0
1046969,current,11000,60,13.49,253.06,c,verified,debt_consolidation,10.94,0,10,0,24.1,31,10.0,mortgage,129000.0
1066664,current,21000,60,17.27,294.98,d,verified,debt_consolidation,7.75,0,9,0,50.3,16,10.0,mortgage,109000.0
1066659,current,16000,60,17.27,399.97,d,source verified,debt_consolidation,11.04,0,10,0,42.2,16,2.0,rent,50000.0
1064063,current,18825,60,17.58,473.75,d,verified,debt_consolidation,24.98,0,9,0,93.2,20,4.0,mortgage,44000.0
1066173,current,12300,60,13.49,282.96,c,source verified,debt_consolidation,12.76,1,8,0,55.5,12,2.0,mortgage,30000.0
1065145,current,18000,60,15.27,430.78,c,verified,credit_card,11.41,3,11,0,83.2,23,1.0,mortgage,84000.0
1065342,current,20000,60,14.65,472.14,c,verified,credit_card,12.15,1,9,0,59.9,15,2.0,mortgage,56000.0
1065142,current,25000,60,19.03,648.93,e,verified,debt_consolidation,19.63,2,9,0,91.5,13,10.0,rent,75000.0
1065320,current,18000,60,19.03,467.23,e,source verified,credit_card,11.32,1,10,0,85.2,16,3.0,rent,90000.0
977277,current,20000,60,10.65,290.64,b,verified,debt_consolidation,5.23,0,12,0,34.1,39,2.0,mortgage,175000.0
1059734,current,20000,60,16.77,494.59,d,verified,credit_card,22.82,1,12,0,56.7,22,7.0,rent,50000.0
1065104,current,20000,60,12.69,451.9,b,source verified,home_improvement,10.21,0,13,0,54.8,31,7.0,own,85000.0
1064897,current,3000,60,19.03,77.88,e,source verified,other,10.73,2,3,0,79.4,12,3.0,rent,53004.0
1064862,current,17000,60,15.27,406.85,c,not verified,debt_consolidation,16.84,2,11,0,62.7,16,8.0,rent,65000.0
1064386,current,25975,60,12.69,372.25,b,verified,debt_consolidation,26.13,0,15,0,77.2,29,10.0,mortgage,130000.0
1057239,current,35000,60,19.42,916.03,e,verified,debt_consolidation,11.72,2,17,0,66.1,27,8.0,rent,195000.0
1064094,current,6000,60,17.58,151.0,d,not verified,debt_consolidation,15.54,0,8,0,80.6,11,3.0,rent,30120.0
1063729,current,18000,60,13.49,414.09,c,verified,debt_consolidation,13.7,1,10,0,62.6,19,10.0,mortgage,40900.0
1063431,current,20000,60,12.69,451.9,b,verified,other,17.78,0,10,0,66.9,26,10.0,rent,49000.0
1063653,current,25000,60,19.42,654.31,e,verified,credit_card,21.13,0,16,0,85.3,42,10.0,rent,105000.0
1063626,current,25000,60,14.27,467.0,c,verified,debt_consolidation,13.41,0,11,0,91.7,31,10.0,mortgage,85000.0
1063602,current,16100,60,11.71,355.79,b,verified,debt_consolidation,27.8,0,10,0,46.0,33,1.0,mortgage,36000.0
1039993,current,15000,60,11.71,331.48,b,verified,debt_consolidation,26.48,0,8,0,67.8,15,10.0,mortgage,72000.0
1062756,current,13000,60,23.52,370.38,g,source verified,debt_consolidation,11.65,1,10,0,92.1,14,10.0,rent,61000.0
1062612,current,18550,60,19.42,303.6,e,verified,debt_consolidation,21.68,2,9,1,65.9,19,2.0,rent,45000.0
1062508,current,12000,60,14.65,226.63,c,not verified,debt_consolidation,14.44,2,12,0,47.8,21,3.0,rent,65000.0
1062102,current,25000,60,19.03,448.41,e,verified,debt_consolidation,16.19,2,15,0,58.5,33,10.0,mortgage,96000.0
1061941,current,3000,60,17.27,75.0,d,verified,debt_consolidation,11.42,1,11,0,66.5,15,5.0,rent,35000.0
1061747,current,18000,60,16.77,445.13,d,verified,debt_consolidation,21.22,1,9,0,77.6,15,2.0,rent,50000.0
1061721,current,21000,60,18.25,536.13,d,verified,credit_card,13.55,2,9,0,94.7,23,2.0,rent,110000.0
1052746,current,7600,60,16.77,187.95,d,verified,other,16.52,2,6,0,72.7,21,1.0,rent,33996.0
1061581,current,25000,60,14.27,585.22,c,source verified,debt_consolidation,10.77,1,8,0,63.6,22,5.0,mortgage,89000.0
1061317,current,12000,60,12.69,271.14,b,not verified,debt_consolidation,10.44,0,5,0,78.6,11,7.0,rent,30000.0
1051045,current,7600,60,16.77,187.95,d,source verified,small_business,6.29,0,13,1,40.6,27,5.0,own,50000.0
1051953,current,10000,60,12.42,194.26,b,source verified,small_business,10.18,0,6,0,66.2,16,2.0,rent,42336.0
1059906,current,35000,60,12.42,489.57,b,verified,debt_consolidation,26.33,0,13,0,59.3,25,10.0,rent,90000.0
1056057,current,35000,60,11.71,470.14,b,verified,debt_consolidation,19.42,0,8,0,44.9,25,8.0,rent,70000.0
1053622,current,14100,60,17.58,354.84,d,source verified,small_business,4.83,3,7,0,70.5,15,4.0,rent,43000.0
1060865,current,35000,60,19.03,572.36,e,verified,small_business,4.29,2,14,0,75.4,39,10.0,mortgage,140000.0
1060853,current,25000,60,19.03,397.8,e,verified,debt_consolidation,15.56,0,15,0,48.8,26,7.0,rent,95000.0
1060631,current,12000,60,11.71,265.18,b,not verified,debt_consolidation,21.17,1,9,0,77.7,23,10.0,rent,70000.0
1060600,current,12800,60,11.71,282.86,b,not verified,debt_consolidation,21.8,0,10,0,60.1,37,1.0,rent,61600.0
1060581,current,15000,60,16.77,370.94,d,not verified,credit_card,15.69,1,9,0,73.3,12,8.0,rent,42000.0
1059930,current,14000,60,18.25,357.42,d,not verified,wedding,16.28,2,5,0,87.0,13,10.0,rent,32000.0
1059288,current,12000,60,13.49,188.07,c,not verified,other,23.58,0,7,0,57.5,24,1.0,rent,75000.0
1054178,current,18000,60,11.71,272.37,b,source verified,home_improvement,10.97,0,14,0,46.3,30,10.0,mortgage,133224.0
1059698,current,12000,60,14.27,280.91,c,source verified,medical,22.77,1,13,0,78.9,15,3.0,rent,41000.0
1059627,current,13250,60,17.27,331.23,d,not verified,debt_consolidation,10.89,3,8,0,59.7,18,1.0,rent,26000.0
1059623,current,7000,60,15.96,170.08,c,not verified,other,21.66,1,10,0,88.6,30,3.0,own,75000.0
1057474,current,13000,60,16.77,321.48,d,not verified,wedding,19.13,0,14,0,86.5,22,9.0,mortgage,50000.0
1059274,current,21000,60,14.65,495.74,c,verified,credit_card,20.11,1,8,0,59.9,24,4.0,mortgage,70000.0
1059284,current,20000,60,20.3,533.23,e,verified,debt_consolidation,18.97,0,18,0,92.5,29,5.0,mortgage,51750.0
1059282,current,15500,60,13.49,356.58,c,source verified,debt_consolidation,11.19,2,6,0,57.0,8,4.0,rent,40000.0
1042427,current,8000,60,11.71,111.6,b,source verified,wedding,3.25,0,7,0,51.1,20,3.0,mortgage,88000.0
1048482,current,30000,60,20.3,494.57,e,source verified,debt_consolidation,18.77,0,11,0,71.4,15,8.0,rent,75000.0
1059120,current,17475,60,7.9,353.5,a,verified,home_improvement,8.44,0,10,0,52.7,18,8.0,mortgage,90000.0
1058952,current,35000,60,19.91,925.54,e,verified,home_improvement,9.41,2,7,0,70.7,17,4.0,mortgage,69000.0
1058974,current,22000,60,19.42,575.79,e,verified,debt_consolidation,16.2,0,7,0,97.0,14,4.0,rent,82500.0
1058698,current,12000,60,19.42,314.07,e,source verified,debt_consolidation,23.15,0,19,0,78.4,28,4.0,rent,68000.0
1058625,current,30000,60,21.67,822.95,f,verified,debt_consolidation,11.44,2,9,0,97.3,20,2.0,rent,85000.0
1058381,current,28000,60,14.65,660.99,c,verified,credit_card,11.81,2,10,0,73.9,62,2.0,rent,160000.0
1058101,current,5000,60,16.77,123.65,d,verified,debt_consolidation,3.92,0,8,0,83.1,16,4.0,mortgage,90000.0
1054408,current,14000,60,20.89,248.33,f,verified,debt_consolidation,6.83,0,4,0,75.1,21,10.0,mortgage,76800.0
1058173,current,6000,60,16.77,148.38,d,source verified,debt_consolidation,9.09,1,16,0,65.4,26,10.0,rent,80000.0
1057314,current,35000,60,12.42,495.19,b,verified,debt_consolidation,8.96,0,12,0,42.9,17,3.0,mortgage,66000.0
1057171,current,24500,60,17.27,612.46,d,verified,debt_consolidation,13.85,0,9,0,95.4,19,10.0,rent,52000.0
1056945,current,20000,60,18.64,514.86,e,verified,credit_card,13.37,1,7,0,89.7,19,10.0,rent,50000.0
1056969,current,7100,60,19.42,185.83,e,verified,credit_card,23.13,1,16,0,93.9,25,3.0,rent,36000.0
1056133,current,18000,60,14.65,424.92,c,verified,debt_consolidation,18.63,1,8,0,83.8,19,7.0,mortgage,36000.0
1056320,current,17000,60,18.64,437.63,e,not verified,debt_consolidation,14.65,1,12,0,76.6,23,10.0,mortgage,72000.0
1056098,current,21000,60,19.91,555.33,e,verified,debt_consolidation,8.09,0,13,0,82.4,28,2.0,rent,94500.0
1056039,current,13000,60,16.77,321.48,d,verified,debt_consolidation,16.0,1,11,0,65.8,19,10.0,mortgage,54000.0
1056173,current,8800,60,20.3,234.62,e,verified,vacation,8.77,1,15,0,88.2,24,10.0,rent,135000.0
1056000,current,20000,60,19.42,523.45,e,source verified,credit_card,8.84,1,20,0,49.0,35,3.0,mortgage,116500.0
1055921,current,21000,60,13.49,483.1,c,source verified,home_improvement,11.34,0,10,0,53.5,21,4.0,mortgage,60000.0
1055653,current,20000,60,16.77,494.59,d,source verified,credit_card,13.5,3,10,0,71.8,18,2.0,rent,108000.0
1055372,current,14000,60,8.9,289.94,a,not verified,debt_consolidation,14.48,0,13,0,23.7,28,1.0,rent,46000.0
1054552,current,35000,60,20.89,944.71,f,verified,home_improvement,5.32,1,10,0,26.5,22,1.0,mortgage,174000.0
1054441,current,22500,60,12.69,508.39,b,verified,other,11.04,1,6,0,31.3,24,4.0,mortgage,45000.0
1054298,current,18250,60,23.52,519.95,g,not verified,debt_consolidation,19.2,0,8,0,98.3,16,6.0,own,40000.0
1054165,current,12950,60,10.65,279.31,b,not verified,house,3.46,1,8,0,4.9,28,1.0,rent,31200.0
1044599,current,30000,60,9.91,636.09,b,verified,home_improvement,1.07,0,8,0,18.6,37,10.0,mortgage,72000.0
1033775,current,7200,60,17.27,179.99,d,source verified,debt_consolidation,10.53,1,11,0,63.8,21,5.0,rent,103000.0
1053817,current,19500,60,18.25,497.83,d,verified,debt_consolidation,17.56,0,9,0,72.0,17,4.0,rent,52470.0
1047639,current,6350,60,11.71,140.33,b,source verified,car,4.71,0,8,0,24.6,10,4.0,rent,49200.0
1053648,current,14750,60,16.77,364.76,d,not verified,debt_consolidation,17.32,1,8,0,64.0,12,8.0,mortgage,30000.0
1053539,current,13475,60,8.9,279.07,a,verified,debt_consolidation,27.27,0,10,0,0.0,22,3.0,rent,26400.0
1053591,current,20000,60,18.64,514.86,e,verified,debt_consolidation,9.31,1,7,0,88.4,32,4.0,rent,87000.0
1053576,current,4800,60,18.25,122.55,d,source verified,debt_consolidation,13.81,0,13,0,90.6,19,10.0,rent,45000.0
1053289,current,25975,60,19.03,674.24,e,verified,debt_consolidation,21.7,0,6,0,95.8,16,8.0,mortgage,50000.0
1052725,current,21200,60,17.58,533.51,d,verified,credit_card,24.05,1,6,0,80.9,28,10.0,mortgage,47000.0
1052789,current,20250,60,15.27,484.63,c,verified,credit_card,23.08,2,14,0,35.2,25,7.0,rent,39624.0
1052616,current,8400,60,14.65,198.3,c,source verified,car,8.14,1,4,0,82.9,10,6.0,rent,51008.0
1052357,current,20000,60,11.71,441.97,b,verified,debt_consolidation,18.96,0,7,0,55.1,11,9.0,rent,35000.0
1051548,current,35000,60,12.69,790.82,b,verified,debt_consolidation,17.09,0,4,0,43.1,13,4.0,rent,71000.0
1042417,current,12000,60,12.69,271.14,b,source verified,small_business,9.23,1,4,0,39.0,9,4.0,rent,45000.0
1052071,current,17200,60,20.89,464.26,f,verified,house,7.06,0,5,0,96.4,6,10.0,rent,52000.0
1051869,current,27300,60,12.42,613.09,b,verified,debt_consolidation,20.19,0,15,0,41.4,43,10.0,mortgage,56000.0
1052008,current,10400,60,16.77,257.19,d,source verified,home_improvement,9.86,1,6,0,54.2,25,5.0,mortgage,56004.0
1048949,current,35000,60,11.71,773.44,b,verified,debt_consolidation,16.63,0,10,0,62.9,37,7.0,mortgage,78000.0
1045401,current,22000,60,12.69,497.09,b,verified,debt_consolidation,15.81,1,7,0,27.3,14,10.0,rent,45000.0
1050056,current,6075,60,17.27,151.87,d,source verified,small_business,5.97,0,4,0,24.4,16,1.0,rent,46440.0
1038880,current,20000,60,16.77,494.59,d,verified,debt_consolidation,20.73,1,17,0,59.3,29,8.0,mortgage,56500.0
1036964,current,22000,60,13.49,506.11,c,verified,credit_card,9.46,0,7,0,76.6,16,2.0,mortgage,75000.0
1049409,current,20000,60,15.96,485.94,c,verified,home_improvement,10.53,3,10,0,68.6,20,10.0,mortgage,112000.0
1047388,current,20000,60,12.42,449.15,b,verified,credit_card,20.12,1,10,0,60.6,34,4.0,mortgage,55000.0
1006779,current,15000,60,10.65,323.53,b,source verified,other,23.13,0,21,0,22.5,40,1.0,mortgage,68004.0
1009907,current,18000,60,18.64,463.38,e,source verified,credit_card,11.29,0,13,0,91.6,31,9.0,mortgage,132000.0
1048372,current,5375,60,18.25,137.23,d,verified,debt_consolidation,11.56,1,5,0,81.3,7,10.0,rent,19200.0
1047400,current,12000,60,17.58,301.99,d,verified,debt_consolidation,16.27,0,10,0,94.1,23,10.0,mortgage,83000.0
1048930,current,10000,60,13.49,230.05,c,not verified,debt_consolidation,25.51,1,9,0,59.7,22,2.0,rent,48500.0
1048727,current,22000,60,14.65,519.35,c,source verified,debt_consolidation,6.93,1,6,0,71.8,13,1.0,mortgage,93000.0
1048681,current,14000,60,19.91,370.22,e,source verified,debt_consolidation,11.31,1,8,0,71.6,18,10.0,mortgage,47000.0
1048064,current,35000,60,14.27,819.3,c,verified,debt_consolidation,23.8,3,7,0,69.5,32,1.0,mortgage,65000.0
1048015,current,16000,60,12.42,359.32,b,source verified,debt_consolidation,12.39,0,8,0,85.9,27,10.0,rent,40000.0
1047082,current,15250,60,12.69,344.57,b,source verified,debt_consolidation,26.62,0,4,0,83.0,15,3.0,mortgage,31200.0
1047556,current,16000,60,17.27,399.97,d,not verified,debt_consolidation,10.91,0,7,0,87.4,16,10.0,rent,57000.0
1030533,current,12000,60,13.49,276.06,c,source verified,debt_consolidation,10.61,2,7,0,65.8,17,1.0,rent,50000.0
1047564,current,22000,60,12.69,497.09,b,verified,credit_card,11.98,2,7,0,64.1,22,6.0,mortgage,91663.0
1046480,current,3000,60,12.42,67.38,b,not verified,car,6.6,5,13,0,0.7,46,2.0,mortgage,106800.0
1047209,current,21000,60,15.27,502.57,c,verified,home_improvement,13.23,1,8,0,49.4,18,7.0,mortgage,90000.0
1047143,current,3975,60,17.58,100.04,d,source verified,debt_consolidation,10.29,0,9,0,95.9,10,6.0,mortgage,42000.0
1040115,current,35000,60,12.69,790.82,b,verified,debt_consolidation,16.58,0,8,0,89.4,23,10.0,rent,102000.0
1046117,current,33600,60,14.27,786.53,c,source verified,debt_consolidation,20.57,0,6,0,57.0,18,10.0,rent,86000.0
1046530,current,16000,60,15.27,382.92,c,verified,debt_consolidation,7.76,2,7,0,56.6,12,5.0,rent,99000.0
1041857,current,20000,60,15.27,478.64,c,verified,debt_consolidation,18.63,1,8,0,83.6,31,10.0,rent,110000.0
1046153,current,28200,60,19.03,731.99,e,verified,home_improvement,22.88,2,5,0,66.9,19,10.0,mortgage,72000.0
1014538,current,15000,60,20.3,399.92,e,verified,other,15.15,0,10,0,71.0,15,6.0,mortgage,95000.0
1043257,current,12600,60,19.03,327.06,e,source verified,debt_consolidation,12.67,0,9,0,77.2,17,10.0,mortgage,37209.6
1022862,current,25000,60,18.25,638.25,d,verified,debt_consolidation,9.91,0,5,0,78.7,20,10.0,mortgage,46520.88
1045315,current,27700,60,20.3,738.52,e,verified,small_business,0.32,0,3,1,22.2,9,6.0,mortgage,60000.0
1042203,current,15800,60,18.25,403.37,d,verified,debt_consolidation,13.1,1,10,0,85.6,15,4.0,rent,83000.0
1045159,current,18000,60,19.42,471.1,e,source verified,debt_consolidation,13.07,2,21,0,47.6,34,6.0,mortgage,55000.0
1045590,current,13200,60,14.27,309.0,c,not verified,credit_card,12.61,0,6,0,72.5,8,7.0,rent,47000.0
1045291,current,27000,60,12.42,606.35,b,verified,credit_card,12.84,0,13,0,31.1,37,7.0,mortgage,150000.0
1045100,current,12000,60,14.27,280.91,c,source verified,debt_consolidation,13.09,0,9,0,51.5,11,7.0,rent,33000.0
1044864,current,5250,60,17.58,132.12,d,not verified,credit_card,23.45,2,10,0,95.3,23,10.0,mortgage,59000.0
1044826,current,2500,60,12.69,56.49,b,not verified,car,14.82,0,8,0,27.5,11,1.0,own,33840.0
1044543,current,12250,60,11.71,270.71,b,verified,debt_consolidation,23.76,0,14,0,72.2,30,10.0,mortgage,63996.0
1044511,current,24250,60,19.03,629.46,e,verified,debt_consolidation,24.0,2,8,0,81.0,26,10.0,rent,54257.0
1042702,current,22000,60,18.25,561.66,d,verified,other,19.64,2,15,0,23.2,20,5.0,mortgage,92000.0
1044500,current,32000,60,20.89,863.73,f,verified,car,18.84,1,12,0,73.9,24,10.0,own,100000.0
1044201,current,25000,60,15.27,598.3,c,source verified,debt_consolidation,9.88,1,6,0,87.8,24,10.0,mortgage,150000.0
1044134,current,24000,60,12.69,542.28,b,verified,debt_consolidation,6.77,3,9,0,51.6,19,2.0,mortgage,180000.0
1042101,current,29100,60,10.65,627.64,b,verified,debt_consolidation,14.0,0,13,0,19.8,23,6.0,mortgage,83496.0
1042314,current,15000,60,15.96,364.46,c,verified,credit_card,23.75,1,11,0,61.8,20,10.0,rent,58000.0
1042083,current,18000,60,19.42,471.1,e,source verified,home_improvement,10.31,0,9,0,94.4,34,10.0,mortgage,180000.0
1041887,current,23000,60,12.69,519.68,b,verified,debt_consolidation,29.83,1,14,0,60.3,54,10.0,mortgage,80000.0
1041823,current,21000,60,16.77,519.32,d,verified,debt_consolidation,14.72,1,8,0,92.1,16,10.0,rent,53000.0
1041816,current,15000,60,17.27,374.97,d,not verified,credit_card,16.13,1,5,0,93.9,10,10.0,rent,41000.0
1041645,current,6400,60,19.42,167.51,e,verified,other,6.06,2,22,0,78.7,25,3.0,rent,21996.0
1041546,current,14300,60,11.71,316.01,b,verified,credit_card,26.96,0,11,0,38.6,17,10.0,rent,30000.0
1041523,current,17625,60,17.58,443.55,d,verified,credit_card,27.27,1,7,0,95.2,16,10.0,rent,43000.0
1041285,current,5000,60,11.71,110.5,b,not verified,other,7.81,0,6,0,26.4,17,5.0,mortgage,84000.0
1039148,current,14000,60,8.9,289.94,a,not verified,debt_consolidation,11.45,0,8,0,47.4,24,1.0,mortgage,68124.0
1035141,current,16750,60,12.42,376.16,b,not verified,debt_consolidation,23.83,2,13,0,28.1,26,5.0,mortgage,42000.0
1040965,current,13200,60,17.58,332.19,d,not verified,credit_card,15.33,0,11,0,87.6,16,9.0,mortgage,80000.0
1035283,current,35000,60,19.42,916.03,e,verified,debt_consolidation,20.89,1,8,0,93.3,28,10.0,mortgage,76519.82
1040236,current,8000,60,21.67,219.46,f,verified,other,6.69,1,4,0,72.6,5,4.0,rent,45000.0
1039811,current,35000,60,19.42,916.03,e,verified,credit_card,18.11,0,9,0,79.6,20,10.0,own,137000.0
1033437,current,8400,60,8.9,173.97,a,source verified,debt_consolidation,7.44,0,18,0,8.7,23,4.0,mortgage,65508.0
1039887,current,19800,60,21.67,543.15,f,verified,home_improvement,1.61,2,9,0,27.2,21,10.0,own,170000.0
1039836,current,20000,60,12.69,451.9,b,verified,debt_consolidation,15.48,1,12,0,55.1,16,7.0,rent,40000.0
1039627,current,25000,60,17.27,624.95,d,verified,debt_consolidation,21.07,0,14,0,67.4,24,10.0,rent,50400.0
1039790,current,14000,60,13.49,322.07,c,source verified,credit_card,24.73,0,15,0,58.5,31,10.0,mortgage,67000.0
1036828,current,12800,60,13.49,294.47,c,not verified,debt_consolidation,16.59,0,9,0,85.9,14,4.0,rent,45000.0
1033003,current,14000,60,17.58,352.32,d,verified,car,10.01,0,8,0,69.3,12,1.0,mortgage,100000.0
1038103,current,31000,60,12.42,696.18,b,verified,debt_consolidation,18.31,0,8,0,53.1,14,10.0,mortgage,62400.0
1038738,current,12900,60,18.25,329.34,d,source verified,debt_consolidation,21.79,0,11,0,73.1,23,1.0,rent,75000.0
1038713,current,22000,60,17.27,549.96,d,verified,debt_consolidation,13.8,1,11,0,58.3,36,10.0,rent,84000.0
1038518,current,25000,60,11.71,552.46,b,verified,house,13.38,2,16,0,8.3,26,10.0,mortgage,60000.0
1038434,current,24000,60,17.58,603.98,d,verified,debt_consolidation,5.14,0,10,0,68.6,26,3.0,rent,125004.0
1038022,current,15000,60,17.27,374.97,d,verified,debt_consolidation,22.16,1,10,0,74.1,45,1.0,rent,62000.0
1038330,current,23600,60,18.64,607.54,e,verified,debt_consolidation,24.36,2,10,0,50.9,21,10.0,own,60000.0
1038060,current,16000,60,15.96,388.75,c,verified,debt_consolidation,20.52,1,14,0,67.3,27,7.0,mortgage,61000.0
1038001,current,28000,60,20.89,755.77,f,verified,debt_consolidation,18.77,1,11,0,90.5,19,2.0,rent,80000.0
1037889,current,35000,60,18.64,901.01,e,verified,credit_card,12.0,1,12,0,75.3,20,3.0,rent,140000.0
