id,loan_status,loan_amount,loan_term,interest_rate,installment,grade,verification_status,purpose,dti,inquiries,open_credit_lines,derogatory,revolving_rate,total_credit_lines,employment_length,home_ownership,annual_income
1077501,fully paid,5000,36,10.65,162.87,b,verified,credit_card,27.65,1,3,0,83.7,9,10.0,rent,24000.0
1077430,charged off,2500,60,15.27,59.83,c,source verified,car,1.0,5,3,0,9.4,4,1.0,rent,30000.0
1077175,fully paid,2400,36,15.96,84.33,c,not verified,small_business,8.72,2,2,0,98.5,10,10.0,rent,12252.0
1076863,fully paid,10000,36,13.49,339.31,c,source verified,other,20.0,1,10,0,21.0,37,10.0,rent,49200.0
1075358,current,3000,60,12.69,67.79,b,source verified,other,17.94,0,15,0,53.9,38,1.0,rent,80000.0
1075269,fully paid,5000,36,7.9,156.46,a,source verified,wedding,11.2,3,9,0,28.3,12,3.0,rent,36000.0
1069639,fully paid,7000,60,15.96,170.08,c,not verified,debt_consolidation,23.51,1,7,0,85.6,11,8.0,rent,47004.0
1072053,fully paid,3000,36,18.64,109.43,e,source verified,car,5.35,2,4,0,87.5,4,9.0,rent,48000.0
1071795,charged off,5600,60,21.28,152.39,f,source verified,small_business,5.55,2,11,0,32.6,13,4.0,own,40000.0
1071570,charged off,5375,60,12.69,121.45,b,verified,other,18.08,0,2,0,36.5,3,1.0,rent,15000.0
1070078,fully paid,6500,60,14.65,153.45,c,not verified,debt_consolidation,16.12,2,14,0,20.6,23,5.0,own,72000.0
1069908,fully paid,12000,36,12.69,402.54,b,source verified,debt_consolidation,10.78,0,12,0,67.1,34,10.0,own,75000.0
1064687,charged off,9000,36,13.49,305.38,c,source verified,debt_consolidation,10.08,1,4,0,91.7,9,1.0,rent,30000.0
1069866,fully paid,3000,36,9.91,96.68,b,source verified,credit_card,12.56,2,11,0,43.1,11,3.0,rent,15000.0
1069057,charged off,10000,36,10.65,325.74,b,source verified,other,7.06,2,14,0,55.5,29,3.0,rent,100000.0
1069759,fully paid,1000,36,16.29,35.31,d,not verified,debt_consolidation,20.31,1,11,0,81.5,23,1.0,rent,28000.0
1065775,fully paid,10000,36,15.27,347.98,c,not verified,home_improvement,18.6,2,14,0,70.2,28,4.0,rent,42000.0
1069971,fully paid,3600,36,6.03,109.57,a,not verified,major_purchase,10.52,0,20,0,16.0,42,10.0,mortgage,110000.0
1062474,fully paid,6000,36,11.71,198.46,b,verified,medical,18.44,0,4,0,37.73,14,1.0,mortgage,84000.0
1069742,fully paid,9200,36,6.03,280.01,a,not verified,debt_consolidation,9.86,0,8,0,23.1,28,6.0,rent,77385.19
1069740,fully paid,20250,60,15.27,484.63,c,verified,debt_consolidation,26.53,3,8,0,85.6,22,3.0,rent,43370.0
1039153,charged off,21000,36,12.42,701.73,b,verified,debt_consolidation,13.22,0,7,0,90.3,38,10.0,rent,105000.0
1069710,fully paid,10000,36,11.71,330.76,b,source verified,credit_card,11.18,0,8,0,82.4,21,10.0,own,50000.0
1069700,fully paid,10000,36,11.71,330.76,b,not verified,debt_consolidation,16.01,0,6,0,91.8,17,5.0,rent,50000.0
1069559,charged off,6000,36,11.71,198.46,b,not verified,major_purchase,2.4,1,7,0,29.7,7,1.0,rent,76000.0
1069697,fully paid,15000,36,9.91,483.38,b,verified,credit_card,29.44,0,8,0,93.9,31,2.0,mortgage,92000.0
1069800,charged off,15000,36,14.27,514.64,c,not verified,debt_consolidation,15.22,1,7,0,57.6,11,9.0,rent,60000.0
1069657,charged off,5000,60,16.77,123.65,d,not verified,other,13.97,0,14,0,59.5,22,2.0,rent,50004.0
1069799,fully paid,4000,36,11.71,132.31,b,not verified,debt_consolidation,5.63,0,12,0,37.7,44,10.0,mortgage,106000.0
1047704,fully paid,8500,36,11.71,281.15,b,source verified,credit_card,12.19,0,8,0,59.1,12,1.0,rent,25000.0
1032111,fully paid,4375,36,7.51,136.11,a,source verified,debt_consolidation,20.34,0,6,0,86.9,12,7.0,mortgage,17108.0
1069539,fully paid,31825,36,7.9,995.82,a,verified,debt_consolidation,14.03,0,12,0,27.4,26,5.0,mortgage,75000.0
1065420,current,10000,60,15.96,242.97,c,verified,debt_consolidation,22.83,1,11,0,63.6,31,2.0,rent,29120.0
1069591,fully paid,5000,36,8.9,158.77,a,verified,debt_consolidation,11.93,0,8,0,29.3,16,2.0,rent,24044.0
1069530,fully paid,7000,36,15.96,245.97,c,source verified,credit_card,6.35,1,6,0,60.5,6,7.0,rent,34000.0
1069522,fully paid,12400,36,10.65,403.91,b,not verified,credit_card,11.8,2,9,0,57.2,12,10.0,rent,41000.0
1069361,fully paid,10800,36,9.91,348.03,b,source verified,moving,5.5,0,7,0,13.3,18,2.0,rent,55596.0
1069357,fully paid,15000,36,7.9,469.36,a,verified,debt_consolidation,8.48,0,7,0,50.4,27,1.0,rent,45000.0
1069356,fully paid,6000,36,12.42,200.5,b,source verified,debt_consolidation,10.62,1,7,0,66.5,12,1.0,rent,36852.0
1069346,current,12500,60,12.69,282.44,b,verified,debt_consolidation,16.04,3,6,0,50.0,24,1.0,rent,27000.0
1067573,fully paid,9600,36,7.51,298.67,a,source verified,other,6.63,0,6,0,18.1,11,4.0,rent,68004.0
1069506,fully paid,12000,36,7.9,375.49,a,not verified,debt_consolidation,16.7,0,15,0,21.0,25,10.0,rent,62300.0
1069314,fully paid,3000,36,18.25,108.84,d,not verified,other,17.39,0,8,0,98.1,22,9.0,mortgage,65000.0
1060578,fully paid,4400,36,16.77,156.37,d,not verified,debt_consolidation,20.01,0,7,0,99.0,11,10.0,rent,55000.0
1069469,fully paid,6000,36,6.03,182.62,a,not verified,debt_consolidation,5.34,1,6,0,32.5,28,10.0,mortgage,45600.0
1051117,fully paid,14000,36,9.91,451.15,b,not verified,small_business,10.0,1,7,0,13.4,40,6.0,rent,80000.0
1069465,charged off,5000,36,8.9,158.77,a,source verified,debt_consolidation,16.33,0,17,0,62.1,35,10.0,mortgage,100000.0
1069283,fully paid,10000,36,10.65,325.74,b,verified,other,11.47,0,7,0,52.3,10,6.0,rent,27000.0
1069287,fully paid,10000,36,6.03,304.36,a,not verified,credit_card,12.74,1,11,0,19.5,18,10.0,rent,60000.0
1069453,fully paid,11000,36,6.62,337.75,a,not verified,debt_consolidation,10.85,0,5,0,36.4,7,5.0,rent,70000.0
1069248,charged off,15000,36,9.91,483.38,b,not verified,debt_consolidation,9.12,2,9,0,63.7,28,8.0,mortgage,80000.0
1068120,fully paid,25600,36,9.91,824.96,b,verified,credit_card,15.71,0,11,0,62.0,27,9.0,rent,110000.0
