model,roc_auc,recall,F1,accuracy,precision
Logistic Regression CV,0.6993153097471723,0.633990752186055,0.3399195797537204,0.6459973376882839,0.23223749586528625
LogisticRegression val,0.6510195785631325,0.6533333333333333,0.3489614243323442,0.6493714042190496,0.2380566801619433
Random Forest CV,0.6903368405246748,0.6011390376779746,0.33703913552226955,0.6599545648782712,0.23419303898472682
Random Forest val,0.644406006304961,0.6266666666666667,0.3445326817348809,0.6570424035797997,0.2375737152485257
XGBoost CV,0.6022666792836303,0.1743634116192831,0.19484289615100253,0.7929896998756881,0.22089297942139158
XGBoost val,0.5316137566137565,0.17037037037037037,0.18844735764031134,0.7889409759215853,0.21081576535288726
AdaBoost CV,0.4182310694114218,0.4932246791496895,0.18118682286771784,0.3698057173358519,0.11137436342695498
AdaBoost val,0.392957893184374,0.3340740740740741,0.1453432162423461,0.43490304709141275,0.09287479406919275
KNN CV,0.5741170366681342,0.10916357643180881,0.15002135230148764,0.8221821408174715,0.23987068765720423
KNN val,0.5278676511254909,0.1111111111111111,0.15424164524421594,0.8247389729384189,0.25210084033613445
